"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"GMB","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",57,
"GTM","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",23.5,
"GIN","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",65,
"GNB","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",34,
"HND","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",6.2,
"IRQ","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",31,
"JAM","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",17,
"JOR","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",63,
"KEN","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",50.4,
"KWT","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",38.2,
"KGZ","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",19.3,
"LAO","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",30,
"LBN","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",46.6,
"LSO","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",30,
"LBR","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",45,
"LBY","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",11.3,
"MDG","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",41,
"MWI","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",18.9,
"MLI","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",74,
"MNG","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",62.9,
"MAR","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",52.3,
"NAM","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",28,
"NPL","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",22,
"NIC","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",12,
"NER","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",54,
"PSE","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",15.7,
"QAT","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",5,
"RWA","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",45,
"SEN","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",42,
"SLE","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",44,
"SOM","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",75,
"LKA","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",54,
"SWZ","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",32,
"TJK","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",75.1,
"TLS","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",69,
"TGO","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",25,
"TTO","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",8,
"TUN","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",29.4,
"TKM","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",46,
"UGA","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",58,
"UZB","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",39.7,
"YEM","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",36.7,
"ZWE","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",17.9,
"AUT","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",4,
"BEL","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",2.5,
"CZE","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",2.6,
"DNK","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",0,
"GRC","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",5,
"IRL","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",1.4,
"LUX","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",4,
"PRT","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",2.5,
"SVK","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",5.5,
"AGO","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",25,
"CRI","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",3,
"CIV","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",43,
"HRV","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",4.4,
"CUB","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",3,
"CYP","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",7.8,
"SLV","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",10,
"FJI","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",24.2,
"HKG","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",35.5,
"LVA","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",1.9,
"LTU","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",1.4,
"MLT","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",0,
"MRT","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",26,
"MMR","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",14.4,
"OMN","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",10,
"PAN","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",9,
"PRY","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",7,
"TWN","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",19.8,
"MNE","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",2,
"ISR","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",14.9,
"PNG","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",69,
"SAU","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",20.5,
"VEN","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",27.9,
