"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"LKA","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",54,
"SWZ","VIOLWOMEN","LAWDOMVIOL","IDX","A","2023",50,
"SWZ","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",32,
"SYR","VIOLWOMEN","LAWDOMVIOL","IDX","A","2023",75,
"TJK","VIOLWOMEN","LAWDOMVIOL","IDX","A","2023",75,
"TJK","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",75.1,
"TJK","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2023",24,
"TLS","VIOLWOMEN","LAWDOMVIOL","IDX","A","2023",50,
"TLS","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",69,
"TLS","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2023",38,
"TGO","VIOLWOMEN","LAWDOMVIOL","IDX","A","2023",75,
"TGO","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",25,
"TTO","VIOLWOMEN","LAWDOMVIOL","IDX","A","2023",75,
"TTO","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",8,
"TUN","VIOLWOMEN","LAWDOMVIOL","IDX","A","2023",50,
"TUN","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",29.4,
"TUN","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2023",25,
"TKM","VIOLWOMEN","LAWDOMVIOL","IDX","A","2023",75,
"TKM","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",46,
"UGA","VIOLWOMEN","LAWDOMVIOL","IDX","A","2023",50,
"UGA","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",58,
"UGA","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2023",45,
"UZB","VIOLWOMEN","LAWDOMVIOL","IDX","A","2023",75,
"UZB","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",39.7,
"VEN","VIOLWOMEN","LAWDOMVIOL","IDX","A","2023",25,
"YEM","VIOLWOMEN","LAWDOMVIOL","IDX","A","2023",75,
"YEM","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",36.7,
"ZWE","VIOLWOMEN","LAWDOMVIOL","IDX","A","2023",25,
"ZWE","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",17.9,
"ZWE","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2023",35,
"AUT","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",4,
"BEL","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",2.5,
"CZE","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",2.6,
"DNK","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",0,
"GRC","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",5,
"IRL","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",1.4,
"LUX","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",4,
"PRT","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",2.5,
"SVK","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",5.5,
"AGO","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",25,
"CRI","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",3,
"CIV","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",43,
"HRV","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",4.4,
"CUB","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",3,
"CYP","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",7.8,
"SLV","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",10,
"FJI","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",24.2,
"HKG","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",35.5,
"LVA","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",1.9,
"LTU","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",1.4,
"MLT","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",0,
"MRT","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",26,
"MMR","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",14.4,
"OMN","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",10,
"PAN","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",9,
"PRY","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",7,
"TWN","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",19.8,
"MNE","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",2,
"AFG","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2023",46,
"BEN","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2023",26,
"BTN","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2023",22,
"BIH","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2023",12,
"BRN","VIOLWOMEN","LAWDOMVIOL","IDX","A","2023",75,
"BDI","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2023",40,
"CAF","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2023",29,
"FJI","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2023",52,
"GMB","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2023",25,
"GIN","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2023",37,
"HND","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2023",17,
"IDN","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2023",22,
"IRN","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2023",31,
"IRQ","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2023",26,
"KAZ","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2023",16,
"KGZ","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2023",23,
"LAO","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2023",19,
"LSO","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2023",40,
"MDG","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2023",28,
"MLI","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2023",29,
"MLT","VIOLWOMEN","LAWDOMVIOL","IDX","A","2023",0,
"MLT","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2023",17,
"MNG","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2023",27,
"MAR","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2023",46,
"MMR","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2023",19,
"SEN","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2023",24,
"SLE","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2023",36,
"SGP","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2023",11,
"LKA","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2023",24,
"TWN","VIOLWOMEN","LAWDOMVIOL","IDX","A","2023",25,
"TGO","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2023",25,
"TTO","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2023",28,
"URY","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2023",18,
"MNE","VIOLWOMEN","LAWDOMVIOL","IDX","A","2023",50,
"ARG","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2023",27,
"BWA","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2023",34,
"CUB","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2023",14,
"MYS","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2023",19,
"MRT","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2023",8.8,
"PSE","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2023",21.2,
"PAN","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2023",16,
"QAT","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2023",24,
"SAU","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2023",43,
"TWN","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2023",25,
"TKM","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2023",12,
"VEN","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2023",19,
"MNE","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2023",16,
"ISR","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",14.9,
"PNG","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",69,
"SAU","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",20.5,
"VEN","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",27.9,
